Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
9075823332,"May 15, 2023, 2:16:00 PM",Morning Run,Run,,1279,3.51,,,false,,,activities/9075823332.gpx,,,1279.0,1244.0,3517.760009765625,6.221999645233154,2.8277814388275146,26.109914779663086,23.709915161132812,3.799999952316284,18.899999618530273,7.736877918243408,0.06822523474693298,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,32.0,0.0,,1.0,3556.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.750398874282837,3125.300048828125,,,,3290.0,,,,,,,,""
9085216340,"May 17, 2023, 12:11:47 AM",Evening Run,Run,,2925,5.52,,,false,,,activities/9085216340.gpx,,,2925.0,2920.0,5525.75,4.358001708984375,1.8923801183700562,39.201229095458984,38.801231384277344,-212.3000030517578,11.5,47.34596633911133,0.007238836493343115,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5731.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.8891452550888062,3892.60009765625,,,,5950.0,,,,,,,,""
9091441394,"May 18, 2023, 1:10:14 AM",Evening Run,Run,,4308,6.73,,,false,,,activities/9091441394.gpx,,,4308.0,2929.0,6734.08984375,6.31591796875,2.2991087436676025,33.52945327758789,35.4294548034668,-5.400000095367432,13.800000190734863,45.1710319519043,-0.028214652091264725,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6924.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.5631592273712158,3785.5,,,,7128.0,,,,,,,,""
9101782168,"May 19, 2023, 2:54:12 PM",Morning Run,Run,,3962,7.04,,,false,,,activities/9101782168.gpx,,,3962.0,3320.0,7042.8701171875,3.805957078933716,2.1213464736938477,48.96066665649414,48.66066360473633,-69.69999694824219,24.0,49.2429084777832,0.004259626846760511,,,,,,,,,,,,,,,,,,4.0,,,,,0.0,36.0,0.0,,1.0,7428.7001953125,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.7776048183441162,4637.60009765625,,,,7554.0,,,,,,,,""
9119344705,"May 22, 2023, 2:33:41 PM",Morning Run,Run,,1670,4.70,,,false,,,activities/9119344705.gpx,,,1670.0,1620.0,4704.31005859375,3.740039110183716,2.903895139694214,30.81647300720215,30.716472625732422,3.799999952316284,22.600000381469727,5.24019718170166,0.0021257102489471436,,,,,,,,,,,,,,,,,,7.0,,,,,0.0,51.0,0.0,,1.0,4753.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.8169522285461426,4325.0,,,,4382.0,,,,,,,,media/B0DED772-3374-4337-B475-491618976D66.jpg
9129370122,"May 24, 2023, 2:31:38 AM",Evening Run,Run,,5153,4.35,,,false,,,activities/9129370122.gpx,,,5153.0,1629.0,4354.43994140625,9.387988090515137,2.6730754375457764,10.19705867767334,10.19705867767334,6.199999809265137,16.700000762939453,4.722555160522461,0.0,,,,,,,,,,,,,,,,,,5.0,,,,,0.0,29.0,0.0,,1.0,4364.7001953125,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.8450300693511963,0.0,,,,4086.0,,,,,,,,""
9144670954,"May 26, 2023, 3:42:17 PM",Morning Run,Run,,859,2.29,,,false,,,activities/9144670954.gpx,,,859.0,829.0,2296.219970703125,6.385000228881836,2.769867181777954,22.008882522583008,18.008882522583008,3.799999952316284,18.5,4.968964099884033,0.17419934272766113,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2328.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.6731314659118652,1784.5,,,,2198.0,,,,,,,,""
9151764202,"May 27, 2023, 3:40:52 PM",Morning Run,Run,,6248,9.13,,,false,,,activities/9151764202.gpx,,,6248.0,5918.0,9129.8603515625,6.879590034484863,1.5427273511886597,37.737911224365234,40.737911224365234,-6.400000095367432,16.600000381469727,45.53742218017578,-0.032859209924936295,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,9370.900390625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.4612452983856201,3481.5,,,,8368.0,,,,,,,,""
9158692056,"May 28, 2023, 5:15:46 PM",Morning Run,Run,,2307,5.74,,,false,,,activities/9158692056.gpx,,,2307.0,2102.0,5745.97998046875,6.002999782562256,2.7335774898529053,9.176470756530762,5.27647066116333,8.399999618530273,13.899999618530273,3.389833927154541,0.06787353754043579,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5759.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.4906718730926514,2361.699951171875,,,,838.0,,,,,,,,""
9164154981,"May 29, 2023, 4:25:35 PM",Morning Run,Run,,534,1.82,,,false,,,activities/9164154981.gpx,,,534.0,529.0,1823.0799560546875,4.314001560211182,3.4462759494781494,0.0,-0.20000000298023224,4.599999904632568,5.199999809265137,1.372214436531067,0.010970446281135082,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,1823.9000244140625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.4140074253082275,1823.0999755859375,,,,1480.0,,,,,,,,""
